               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.031887,            0.021736,           0.0026084,             0.75574,             0.66919,              0.7391,             0.37321,            0.030477,            0.020991,           0.0024597,            0.008682,            0.008682,            0.008682
                  52,            0.031301,            0.021944,           0.0019822,             0.81099,             0.73541,             0.82537,             0.43576,            0.028675,            0.018972,          0.00091904,           0.0086316,           0.0086316,           0.0086316
                  53,            0.030659,            0.021068,           0.0019927,              0.6856,             0.65802,             0.73147,             0.38108,            0.033487,            0.019894,           0.0026217,           0.0085805,           0.0085805,           0.0085805
                  54,            0.030987,            0.021723,            0.002687,             0.75654,             0.74608,             0.77975,             0.39509,            0.030158,            0.019704,           0.0043644,           0.0085286,           0.0085286,           0.0085286
                  55,            0.030801,            0.021124,           0.0019427,             0.77529,             0.84431,             0.84805,             0.48674,            0.028199,            0.017612,          0.00076439,           0.0084759,           0.0084759,           0.0084759
                  56,            0.030363,            0.021183,           0.0020695,             0.64767,             0.72225,             0.71399,             0.40327,            0.029116,            0.020992,           0.0027541,           0.0084225,           0.0084225,           0.0084225
                  57,            0.031072,            0.020842,           0.0021597,             0.62805,             0.69115,             0.69412,             0.37806,            0.029508,            0.020324,          0.00071128,           0.0083684,           0.0083684,           0.0083684
                  58,            0.030568,            0.021317,           0.0021564,             0.88725,              0.7277,              0.8488,             0.47447,            0.027191,            0.018103,           0.0010576,           0.0083136,           0.0083136,           0.0083136
                  59,             0.03083,            0.021479,           0.0022378,             0.83176,             0.68605,             0.78208,             0.38885,            0.030866,            0.018797,           0.0017977,           0.0082581,           0.0082581,           0.0082581
                  60,            0.029838,            0.021469,           0.0022906,             0.80908,             0.75173,             0.82969,             0.47754,            0.028263,            0.017948,          0.00094864,           0.0082019,           0.0082019,           0.0082019
