               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.013312,           0.0039515,          0.00033702,             0.92052,              0.9722,             0.96755,             0.72966,            0.013285,           0.0033711,          0.00033544,           0.0057826,           0.0057826,           0.0057826
                  98,            0.013045,           0.0038819,          0.00027016,              0.9311,             0.97474,             0.97674,             0.73495,            0.013144,           0.0034425,          0.00021865,            0.005712,            0.005712,            0.005712
                  99,            0.013045,           0.0039546,          0.00024163,             0.93512,             0.95972,             0.97365,             0.73761,            0.013122,           0.0033904,          0.00022067,           0.0056413,           0.0056413,           0.0056413
                 100,            0.012888,           0.0039272,          0.00027904,             0.96074,             0.95082,             0.97172,             0.73733,            0.013231,           0.0034135,          0.00035996,           0.0055707,           0.0055707,           0.0055707
                 101,            0.012713,           0.0038587,          0.00024008,              0.9279,              0.9641,             0.97567,             0.74421,            0.013247,           0.0033929,           0.0002126,              0.0055,              0.0055,              0.0055
                 102,            0.012623,           0.0039065,          0.00032152,             0.96639,             0.94882,             0.98217,             0.73942,             0.01318,           0.0033605,          0.00018521,           0.0054293,           0.0054293,           0.0054293
                 103,            0.012711,           0.0038566,          0.00031104,               0.952,             0.97647,             0.98717,             0.74375,            0.013002,           0.0032827,          0.00017139,           0.0053587,           0.0053587,           0.0053587
                 104,            0.012681,           0.0038607,          0.00031669,             0.96942,             0.96018,             0.98873,             0.74862,            0.012866,           0.0032834,          0.00020239,            0.005288,            0.005288,            0.005288
                 105,            0.012498,           0.0037429,          0.00023174,             0.95137,             0.95972,              0.9811,             0.76031,            0.012941,           0.0032573,          0.00022469,           0.0052174,           0.0052174,           0.0052174
                 106,            0.012419,            0.003838,          0.00025166,             0.97593,              0.9715,             0.98472,             0.75757,            0.012642,           0.0032253,          0.00021722,           0.0051469,           0.0051469,           0.0051469
                 107,            0.012361,           0.0038308,          0.00029448,             0.96904,             0.95674,             0.98331,             0.76951,             0.01265,            0.003249,          0.00019344,           0.0050765,           0.0050765,           0.0050765
                 108,            0.012509,           0.0037595,          0.00023688,             0.94621,             0.97602,             0.97585,             0.75381,            0.012783,           0.0032312,          0.00025626,           0.0050062,           0.0050062,           0.0050062
